"id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus,satuan,tahun"
"359,32,""JAWA BARAT"",""KABUPATEN PANGANDARAN"",LAKI-LAKI,97,""ORANG"",2020"
"360,32,""JAWA BARAT"",""KABUPATEN PANGANDARAN"",PEREMPUAN,99,""ORANG"",2020"
"361,32,""JAWA BARAT"",""KOTA BOGOR"",LAKI-LAKI,149,""ORANG"",2020"
"362,32,""JAWA BARAT"",""KOTA BOGOR"",PEREMPUAN,92,""ORANG"",2020"
"363,32,""JAWA BARAT"",""KOTA SUKABUMI"",LAKI-LAKI,348,""ORANG"",2020"
"364,32,""JAWA BARAT"",""KOTA SUKABUMI"",PEREMPUAN,303,""ORANG"",2020"
"365,32,""JAWA BARAT"",""KOTA BANDUNG"",LAKI-LAKI,2322,""ORANG"",2020"
"366,32,""JAWA BARAT"",""KOTA BANDUNG"",PEREMPUAN,2102,""ORANG"",2020"
"367,32,""JAWA BARAT"",""KOTA CIREBON"",LAKI-LAKI,83,""ORANG"",2020"
"368,32,""JAWA BARAT"",""KOTA CIREBON"",PEREMPUAN,88,""ORANG"",2020"
"369,32,""JAWA BARAT"",""KOTA BEKASI"",LAKI-LAKI,936,""ORANG"",2020"
"370,32,""JAWA BARAT"",""KOTA BEKASI"",PEREMPUAN,710,""ORANG"",2020"
"371,32,""JAWA BARAT"",""KOTA DEPOK"",LAKI-LAKI,670,""ORANG"",2020"
"372,32,""JAWA BARAT"",""KOTA DEPOK"",PEREMPUAN,606,""ORANG"",2020"
"373,32,""JAWA BARAT"",""KOTA CIMAHI"",LAKI-LAKI,211,""ORANG"",2020"
"374,32,""JAWA BARAT"",""KOTA CIMAHI"",PEREMPUAN,222,""ORANG"",2020"
"375,32,""JAWA BARAT"",""KOTA TASIKMALAYA"",LAKI-LAKI,691,""ORANG"",2020"
"376,32,""JAWA BARAT"",""KOTA TASIKMALAYA"",PEREMPUAN,718,""ORANG"",2020"
"377,32,""JAWA BARAT"",""KOTA BANJAR"",LAKI-LAKI,69,""ORANG"",2020"
"378,32,""JAWA BARAT"",""KOTA BANJAR"",PEREMPUAN,77,""ORANG"",2020"
"379,32,""JAWA BARAT"",""KABUPATEN BOGOR"",LAKI-LAKI,1121,""ORANG"",2021"
"380,32,""JAWA BARAT"",""KABUPATEN BOGOR"",PEREMPUAN,1099,""ORANG"",2021"
"381,32,""JAWA BARAT"",""KABUPATEN SUKABUMI"",LAKI-LAKI,139,""ORANG"",2021"
"382,32,""JAWA BARAT"",""KABUPATEN SUKABUMI"",PEREMPUAN,142,""ORANG"",2021"
"383,32,""JAWA BARAT"",""KABUPATEN CIANJUR"",LAKI-LAKI,245,""ORANG"",2021"
"384,32,""JAWA BARAT"",""KABUPATEN CIANJUR"",PEREMPUAN,191,""ORANG"",2021"
"385,32,""JAWA BARAT"",""KABUPATEN BANDUNG"",LAKI-LAKI,990,""ORANG"",2021"
"386,32,""JAWA BARAT"",""KABUPATEN BANDUNG"",PEREMPUAN,1012,""ORANG"",2021"
"387,32,""JAWA BARAT"",""KABUPATEN GARUT"",LAKI-LAKI,509,""ORANG"",2021"
"388,32,""JAWA BARAT"",""KABUPATEN GARUT"",PEREMPUAN,502,""ORANG"",2021"
"389,32,""JAWA BARAT"",""KABUPATEN TASIKMALAYA"",LAKI-LAKI,14,""ORANG"",2021"
"390,32,""JAWA BARAT"",""KABUPATEN TASIKMALAYA"",PEREMPUAN,34,""ORANG"",2021"
"391,32,""JAWA BARAT"",""KABUPATEN CIAMIS"",LAKI-LAKI,236,""ORANG"",2021"
"392,32,""JAWA BARAT"",""KABUPATEN CIAMIS"",PEREMPUAN,230,""ORANG"",2021"
"393,32,""JAWA BARAT"",""KABUPATEN KUNINGAN"",LAKI-LAKI,257,""ORANG"",2021"
"394,32,""JAWA BARAT"",""KABUPATEN KUNINGAN"",PEREMPUAN,287,""ORANG"",2021"
"395,32,""JAWA BARAT"",""KABUPATEN CIREBON"",LAKI-LAKI,408,""ORANG"",2021"
"396,32,""JAWA BARAT"",""KABUPATEN CIREBON"",PEREMPUAN,412,""ORANG"",2021"
"397,32,""JAWA BARAT"",""KABUPATEN MAJALENGKA"",LAKI-LAKI,411,""ORANG"",2021"
"398,32,""JAWA BARAT"",""KABUPATEN MAJALENGKA"",PEREMPUAN,371,""ORANG"",2021"
"399,32,""JAWA BARAT"",""KABUPATEN SUMEDANG"",LAKI-LAKI,619,""ORANG"",2021"
"400,32,""JAWA BARAT"",""KABUPATEN SUMEDANG"",PEREMPUAN,712,""ORANG"",2021"
"401,32,""JAWA BARAT"",""KABUPATEN INDRAMAYU"",LAKI-LAKI,111,""ORANG"",2021"
"402,32,""JAWA BARAT"",""KABUPATEN INDRAMAYU"",PEREMPUAN,83,""ORANG"",2021"
"403,32,""JAWA BARAT"",""KABUPATEN SUBANG"",LAKI-LAKI,155,""ORANG"",2021"
"404,32,""JAWA BARAT"",""KABUPATEN SUBANG"",PEREMPUAN,132,""ORANG"",2021"
"405,32,""JAWA BARAT"",""KABUPATEN PURWAKARTA"",LAKI-LAKI,130,""ORANG"",2021"
"406,32,""JAWA BARAT"",""KABUPATEN PURWAKARTA"",PEREMPUAN,90,""ORANG"",2021"
"407,32,""JAWA BARAT"",""KABUPATEN KARAWANG"",LAKI-LAKI,533,""ORANG"",2021"
"408,32,""JAWA BARAT"",""KABUPATEN KARAWANG"",PEREMPUAN,396,""ORANG"",2021"
"409,32,""JAWA BARAT"",""KABUPATEN BEKASI"",LAKI-LAKI,197,""ORANG"",2021"
"410,32,""JAWA BARAT"",""KABUPATEN BEKASI"",PEREMPUAN,173,""ORANG"",2021"
"411,32,""JAWA BARAT"",""KABUPATEN BANDUNG BARAT"",LAKI-LAKI,150,""ORANG"",2021"
"412,32,""JAWA BARAT"",""KABUPATEN BANDUNG BARAT"",PEREMPUAN,159,""ORANG"",2021"
"413,32,""JAWA BARAT"",""KABUPATEN PANGANDARAN"",LAKI-LAKI,40,""ORANG"",2021"
"414,32,""JAWA BARAT"",""KABUPATEN PANGANDARAN"",PEREMPUAN,40,""ORANG"",2021"
"415,32,""JAWA BARAT"",""KOTA BOGOR"",LAKI-LAKI,264,""ORANG"",2021"
"416,32,""JAWA BARAT"",""KOTA BOGOR"",PEREMPUAN,262,""ORANG"",2021"
"417,32,""JAWA BARAT"",""KOTA SUKABUMI"",LAKI-LAKI,249,""ORANG"",2021"
"418,32,""JAWA BARAT"",""KOTA SUKABUMI"",PEREMPUAN,201,""ORANG"",2021"
"419,32,""JAWA BARAT"",""KOTA BANDUNG"",LAKI-LAKI,1951,""ORANG"",2021"
"420,32,""JAWA BARAT"",""KOTA BANDUNG"",PEREMPUAN,1792,""ORANG"",2021"
"421,32,""JAWA BARAT"",""KOTA CIREBON"",LAKI-LAKI,51,""ORANG"",2021"
"422,32,""JAWA BARAT"",""KOTA CIREBON"",PEREMPUAN,53,""ORANG"",2021"
"423,32,""JAWA BARAT"",""KOTA BEKASI"",LAKI-LAKI,1031,""ORANG"",2021"
"424,32,""JAWA BARAT"",""KOTA BEKASI"",PEREMPUAN,975,""ORANG"",2021"
"425,32,""JAWA BARAT"",""KOTA DEPOK"",LAKI-LAKI,1707,""ORANG"",2021"
"426,32,""JAWA BARAT"",""KOTA DEPOK"",PEREMPUAN,1448,""ORANG"",2021"
"427,32,""JAWA BARAT"",""KOTA CIMAHI"",LAKI-LAKI,346,""ORANG"",2021"
"428,32,""JAWA BARAT"",""KOTA CIMAHI"",PEREMPUAN,352,""ORANG"",2021"
"429,32,""JAWA BARAT"",""KOTA TASIKMALAYA"",LAKI-LAKI,449,""ORANG"",2021"
"430,32,""JAWA BARAT"",""KOTA TASIKMALAYA"",PEREMPUAN,460,""ORANG"",2021"
"431,32,""JAWA BARAT"",""KOTA BANJAR"",LAKI-LAKI,19,""ORANG"",2021"
"432,32,""JAWA BARAT"",""KOTA BANJAR"",PEREMPUAN,19,""ORANG"",2021"
"433,32,""JAWA BARAT"",""KABUPATEN BOGOR"",LAKI-LAKI,948,""ORANG"",2022"
"434,32,""JAWA BARAT"",""KABUPATEN BOGOR"",PEREMPUAN,1005,""ORANG"",2022"
"435,32,""JAWA BARAT"",""KABUPATEN SUKABUMI"",LAKI-LAKI,186,""ORANG"",2022"
"436,32,""JAWA BARAT"",""KABUPATEN SUKABUMI"",PEREMPUAN,197,""ORANG"",2022"
"437,32,""JAWA BARAT"",""KABUPATEN CIANJUR"",LAKI-LAKI,433,""ORANG"",2022"
"438,32,""JAWA BARAT"",""KABUPATEN CIANJUR"",PEREMPUAN,386,""ORANG"",2022"
"439,32,""JAWA BARAT"",""KABUPATEN BANDUNG"",LAKI-LAKI,2014,""ORANG"",2022"
"440,32,""JAWA BARAT"",""KABUPATEN BANDUNG"",PEREMPUAN,2177,""ORANG"",2022"
"441,32,""JAWA BARAT"",""KABUPATEN GARUT"",LAKI-LAKI,420,""ORANG"",2022"
"442,32,""JAWA BARAT"",""KABUPATEN GARUT"",PEREMPUAN,484,""ORANG"",2022"
"443,32,""JAWA BARAT"",""KABUPATEN TASIKMALAYA"",LAKI-LAKI,146,""ORANG"",2022"
"444,32,""JAWA BARAT"",""KABUPATEN TASIKMALAYA"",PEREMPUAN,173,""ORANG"",2022"
"445,32,""JAWA BARAT"",""KABUPATEN CIAMIS"",LAKI-LAKI,337,""ORANG"",2022"
"446,32,""JAWA BARAT"",""KABUPATEN CIAMIS"",PEREMPUAN,365,""ORANG"",2022"
"447,32,""JAWA BARAT"",""KABUPATEN KUNINGAN"",LAKI-LAKI,712,""ORANG"",2022"
"448,32,""JAWA BARAT"",""KABUPATEN KUNINGAN"",PEREMPUAN,762,""ORANG"",2022"
"449,32,""JAWA BARAT"",""KABUPATEN CIREBON"",LAKI-LAKI,948,""ORANG"",2022"
"450,32,""JAWA BARAT"",""KABUPATEN CIREBON"",PEREMPUAN,867,""ORANG"",2022"
"451,32,""JAWA BARAT"",""KABUPATEN MAJALENGKA"",LAKI-LAKI,325,""ORANG"",2022"
"452,32,""JAWA BARAT"",""KABUPATEN MAJALENGKA"",PEREMPUAN,316,""ORANG"",2022"
"453,32,""JAWA BARAT"",""KABUPATEN SUMEDANG"",LAKI-LAKI,1124,""ORANG"",2022"
"454,32,""JAWA BARAT"",""KABUPATEN SUMEDANG"",PEREMPUAN,1062,""ORANG"",2022"
"455,32,""JAWA BARAT"",""KABUPATEN INDRAMAYU"",LAKI-LAKI,190,""ORANG"",2022"
"456,32,""JAWA BARAT"",""KABUPATEN INDRAMAYU"",PEREMPUAN,180,""ORANG"",2022"
"457,32,""JAWA BARAT"",""KABUPATEN SUBANG"",LAKI-LAKI,491,""ORANG"",2022"
"458,32,""JAWA BARAT"",""KABUPATEN SUBANG"",PEREMPUAN,504,""ORANG"",2022"
"459,32,""JAWA BARAT"",""KABUPATEN PURWAKARTA"",LAKI-LAKI,210,""ORANG"",2022"
"460,32,""JAWA BARAT"",""KABUPATEN PURWAKARTA"",PEREMPUAN,202,""ORANG"",2022"
"461,32,""JAWA BARAT"",""KABUPATEN KARAWANG"",LAKI-LAKI,732,""ORANG"",2022"
"462,32,""JAWA BARAT"",""KABUPATEN KARAWANG"",PEREMPUAN,588,""ORANG"",2022"
"463,32,""JAWA BARAT"",""KABUPATEN BEKASI"",LAKI-LAKI,533,""ORANG"",2022"
"464,32,""JAWA BARAT"",""KABUPATEN BEKASI"",PEREMPUAN,476,""ORANG"",2022"
"465,32,""JAWA BARAT"",""KABUPATEN BANDUNG BARAT"",LAKI-LAKI,628,""ORANG"",2022"
"466,32,""JAWA BARAT"",""KABUPATEN BANDUNG BARAT"",PEREMPUAN,632,""ORANG"",2022"
"467,32,""JAWA BARAT"",""KABUPATEN PANGANDARAN"",LAKI-LAKI,252,""ORANG"",2022"
"468,32,""JAWA BARAT"",""KABUPATEN PANGANDARAN"",PEREMPUAN,250,""ORANG"",2022"
"469,32,""JAWA BARAT"",""KOTA BOGOR"",LAKI-LAKI,770,""ORANG"",2022"
"470,32,""JAWA BARAT"",""KOTA BOGOR"",PEREMPUAN,761,""ORANG"",2022"
"471,32,""JAWA BARAT"",""KOTA SUKABUMI"",LAKI-LAKI,487,""ORANG"",2022"
"472,32,""JAWA BARAT"",""KOTA SUKABUMI"",PEREMPUAN,541,""ORANG"",2022"
"473,32,""JAWA BARAT"",""KOTA BANDUNG"",LAKI-LAKI,2646,""ORANG"",2022"
"474,32,""JAWA BARAT"",""KOTA BANDUNG"",PEREMPUAN,2559,""ORANG"",2022"
"475,32,""JAWA BARAT"",""KOTA CIREBON"",LAKI-LAKI,139,""ORANG"",2022"
"476,32,""JAWA BARAT"",""KOTA CIREBON"",PEREMPUAN,131,""ORANG"",2022"
"477,32,""JAWA BARAT"",""KOTA BEKASI"",LAKI-LAKI,1233,""ORANG"",2022"
"478,32,""JAWA BARAT"",""KOTA BEKASI"",PEREMPUAN,1209,""ORANG"",2022"
"479,32,""JAWA BARAT"",""KOTA DEPOK"",LAKI-LAKI,1178,""ORANG"",2022"
"480,32,""JAWA BARAT"",""KOTA DEPOK"",PEREMPUAN,1056,""ORANG"",2022"
"481,32,""JAWA BARAT"",""KOTA CIMAHI"",LAKI-LAKI,305,""ORANG"",2022"
"482,32,""JAWA BARAT"",""KOTA CIMAHI"",PEREMPUAN,370,""ORANG"",2022"
"483,32,""JAWA BARAT"",""KOTA TASIKMALAYA"",LAKI-LAKI,912,""ORANG"",2022"
"484,32,""JAWA BARAT"",""KOTA TASIKMALAYA"",PEREMPUAN,943,""ORANG"",2022"
"485,32,""JAWA BARAT"",""KOTA BANJAR"",LAKI-LAKI,56,""ORANG"",2022"
"486,32,""JAWA BARAT"",""KOTA BANJAR"",PEREMPUAN,57,""ORANG"",2022"
"487,32,""JAWA BARAT"",""KABUPATEN BOGOR"",LAKI-LAKI,945,""ORANG"",2023"
"488,32,""JAWA BARAT"",""KABUPATEN BOGOR"",PEREMPUAN,936,""ORANG"",2023"
"489,32,""JAWA BARAT"",""KABUPATEN SUKABUMI"",LAKI-LAKI,60,""ORANG"",2023"
"490,32,""JAWA BARAT"",""KABUPATEN SUKABUMI"",PEREMPUAN,53,""ORANG"",2023"
"491,32,""JAWA BARAT"",""KABUPATEN CIANJUR"",LAKI-LAKI,397,""ORANG"",2023"
"492,32,""JAWA BARAT"",""KABUPATEN CIANJUR"",PEREMPUAN,432,""ORANG"",2023"
"493,32,""JAWA BARAT"",""KABUPATEN BANDUNG"",LAKI-LAKI,502,""ORANG"",2023"
"494,32,""JAWA BARAT"",""KABUPATEN BANDUNG"",PEREMPUAN,503,""ORANG"",2023"
"495,32,""JAWA BARAT"",""KABUPATEN GARUT"",LAKI-LAKI,323,""ORANG"",2023"
"496,32,""JAWA BARAT"",""KABUPATEN GARUT"",PEREMPUAN,407,""ORANG"",2023"
"497,32,""JAWA BARAT"",""KABUPATEN TASIKMALAYA"",LAKI-LAKI,41,""ORANG"",2023"
"498,32,""JAWA BARAT"",""KABUPATEN TASIKMALAYA"",PEREMPUAN,47,""ORANG"",2023"
"499,32,""JAWA BARAT"",""KABUPATEN CIAMIS"",LAKI-LAKI,112,""ORANG"",2023"
"500,32,""JAWA BARAT"",""KABUPATEN CIAMIS"",PEREMPUAN,120,""ORANG"",2023"
"501,32,""JAWA BARAT"",""KABUPATEN KUNINGAN"",LAKI-LAKI,357,""ORANG"",2023"
"502,32,""JAWA BARAT"",""KABUPATEN KUNINGAN"",PEREMPUAN,273,""ORANG"",2023"
"503,32,""JAWA BARAT"",""KABUPATEN CIREBON"",LAKI-LAKI,400,""ORANG"",2023"
"504,32,""JAWA BARAT"",""KABUPATEN CIREBON"",PEREMPUAN,328,""ORANG"",2023"
"505,32,""JAWA BARAT"",""KABUPATEN MAJALENGKA"",LAKI-LAKI,135,""ORANG"",2023"
"506,32,""JAWA BARAT"",""KABUPATEN MAJALENGKA"",PEREMPUAN,118,""ORANG"",2023"
"507,32,""JAWA BARAT"",""KABUPATEN SUMEDANG"",LAKI-LAKI,727,""ORANG"",2023"
"508,32,""JAWA BARAT"",""KABUPATEN SUMEDANG"",PEREMPUAN,581,""ORANG"",2023"
"509,32,""JAWA BARAT"",""KABUPATEN INDRAMAYU"",LAKI-LAKI,127,""ORANG"",2023"
"510,32,""JAWA BARAT"",""KABUPATEN INDRAMAYU"",PEREMPUAN,91,""ORANG"",2023"
"511,32,""JAWA BARAT"",""KABUPATEN SUBANG"",LAKI-LAKI,328,""ORANG"",2023"
"512,32,""JAWA BARAT"",""KABUPATEN SUBANG"",PEREMPUAN,290,""ORANG"",2023"
"513,32,""JAWA BARAT"",""KABUPATEN PURWAKARTA"",LAKI-LAKI,204,""ORANG"",2023"
"514,32,""JAWA BARAT"",""KABUPATEN PURWAKARTA"",PEREMPUAN,220,""ORANG"",2023"
"515,32,""JAWA BARAT"",""KABUPATEN KARAWANG"",LAKI-LAKI,540,""ORANG"",2023"
"516,32,""JAWA BARAT"",""KABUPATEN KARAWANG"",PEREMPUAN,451,""ORANG"",2023"
"517,32,""JAWA BARAT"",""KABUPATEN BEKASI"",LAKI-LAKI,375,""ORANG"",2023"
"518,32,""JAWA BARAT"",""KABUPATEN BEKASI"",PEREMPUAN,351,""ORANG"",2023"
"519,32,""JAWA BARAT"",""KABUPATEN BANDUNG BARAT"",LAKI-LAKI,665,""ORANG"",2023"
"520,32,""JAWA BARAT"",""KABUPATEN BANDUNG BARAT"",PEREMPUAN,657,""ORANG"",2023"
"521,32,""JAWA BARAT"",""KABUPATEN PANGANDARAN"",LAKI-LAKI,128,""ORANG"",2023"
"522,32,""JAWA BARAT"",""KABUPATEN PANGANDARAN"",PEREMPUAN,125,""ORANG"",2023"
"523,32,""JAWA BARAT"",""KOTA BOGOR"",LAKI-LAKI,772,""ORANG"",2023"
"524,32,""JAWA BARAT"",""KOTA BOGOR"",PEREMPUAN,702,""ORANG"",2023"
"525,32,""JAWA BARAT"",""KOTA SUKABUMI"",LAKI-LAKI,201,""ORANG"",2023"
"526,32,""JAWA BARAT"",""KOTA SUKABUMI"",PEREMPUAN,214,""ORANG"",2023"
"527,32,""JAWA BARAT"",""KOTA BANDUNG"",LAKI-LAKI,977,""ORANG"",2023"
"528,32,""JAWA BARAT"",""KOTA BANDUNG"",PEREMPUAN,879,""ORANG"",2023"
"529,32,""JAWA BARAT"",""KOTA CIREBON"",LAKI-LAKI,113,""ORANG"",2023"
"530,32,""JAWA BARAT"",""KOTA CIREBON"",PEREMPUAN,114,""ORANG"",2023"
"531,32,""JAWA BARAT"",""KOTA BEKASI"",LAKI-LAKI,639,""ORANG"",2023"
"532,32,""JAWA BARAT"",""KOTA BEKASI"",PEREMPUAN,581,""ORANG"",2023"
"533,32,""JAWA BARAT"",""KOTA DEPOK"",LAKI-LAKI,603,""ORANG"",2023"
"534,32,""JAWA BARAT"",""KOTA DEPOK"",PEREMPUAN,428,""ORANG"",2023"
"535,32,""JAWA BARAT"",""KOTA CIMAHI"",LAKI-LAKI,173,""ORANG"",2023"
"536,32,""JAWA BARAT"",""KOTA CIMAHI"",PEREMPUAN,177,""ORANG"",2023"
"537,32,""JAWA BARAT"",""KOTA TASIKMALAYA"",LAKI-LAKI,179,""ORANG"",2023"
"538,32,""JAWA BARAT"",""KOTA TASIKMALAYA"",PEREMPUAN,174,""ORANG"",2023"
"539,32,""JAWA BARAT"",""KOTA BANJAR"",LAKI-LAKI,24,""ORANG"",2023"
"540,32,""JAWA BARAT"",""KOTA BANJAR"",PEREMPUAN,29,""ORANG"",2023"
